No,ID,Bölüm,Üniversite,Yıl,Puan Türü,Açıklama,İl,Tür,Sıralama (2024),Sıralama (2023),Sıralama (2022),Sıralama (2021),Sıralama (2020),Sıralama (2019),Sıralama (2018),Sıralama (2017),Sıralama (2016),Sıralama (2015),Kontenjan (2024),Kontenjan (2023),Kontenjan (2022),Kontenjan (2021),Kontenjan (2020),Kontenjan (2019),Kontenjan (2018),Kontenjan (2017),Kontenjan (2016),Kontenjan (2015),Toplam Tercih (2023),Toplam Tercih (2022),Toplam Tercih (2021),Toplam Tercih (2020),"Yerleşen (E, 2023)","Yerleşen (K, 2023)","Yerleşen (Mzn, 2023)","Yerleşen (E, 2022)","Yerleşen (K, 2022)","Yerleşen (Mzn, 2022)","Yerleşen (E, 2021)","Yerleşen (K, 2021)","Yerleşen (Mzn, 2021)"
1106,103610279,Eczacılık,ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ,5,SAYISAL,,ERZİNCAN,DEVLET,58947,59593,58174,48446,46045,46237,43300,34874,36099,33843,80,90,90,90,80,80,60,62,50,41,2641,2931,3,4308,32,61,62,36,57,68,32,61,69
1107,209510222,Bilgisayar Mühendisliği,ANKARA BİLİM ÜNİVERSİTESİ,4,SAYISAL,(Burslu),ANKARA,VAKIF,59033,38898,,,,,,,,,5,6,,,,,,,,,1029,,,,5,3,2,,,,,,
1108,101190210,Kimya Mühendisliği,ANKARA ÜNİVERSİTESİ,4,SAYISAL,(İngilizce),ANKARA,DEVLET,59074,65015,80884,97856,103137,119447,123000,0,,,75,100,100,100,100,100,80,,,,2634,2417,2,2141,30,73,65,27,76,65,24,79,63
1109,300490578,Diş Hekimliği,ULUSLARARASI KIBRIS ÜNİVERSİTESİ,5,SAYISAL,(İngilizce) (%50 İndirimli),LEFKOŞA,,59224,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
1110,202190189,Fizik,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,4,SAYISAL,(İngilizce) (Ücretli),ANKARA,VAKIF,59233,59171,79655,78813,136719,0,,,,,10,10,10,10,10,,,,,,80,65,85,52,7,3,3,6,4,3,5,5,1
1111,202190210,Sınıf Öğretmenliği,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,4,EŞİT AĞIRLIK,(Burslu),ANKARA,VAKIF,59283,0,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,
1112,210301753,Bilgisayar Mühendisliği,İSTANBUL BEYKENT ÜNİVERSİTESİ,4,SAYISAL,(İngilizce) (Burslu),İSTANBUL,,59346,31476,34195,41380,44076,47048,51100,55113,0,0,12,10,10,9,9,6,6,6,,,214,,,,9,3,7,7,3,4,6,3,3
1113,108410636,Makine Mühendisliği,ORTA DOĞU TEKNİK ÜNİVERSİTESİ,4,SAYISAL,(İngilizce) (Burslu),ANKARA,DEVLET,59406,55906,54628,59336,52498,40654,35100,38025,31458,36228,8,7,6,7,5,5,5,5,5,5,95,60,85,84,6,1,5,3,3,2,5,2,2
1114,110010217,Yönetim Bilişim Sistemleri,ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ,4,EŞİT AĞIRLIK,(İngilizce),ANKARA,DEVLET,59411,61633,94995,107357,133891,163302,181000,131872,123794,117509,70,60,60,60,60,60,60,62,60,52,1913,2362,2,1808,28,34,30,34,28,38,35,27,38
1115,108890243,Yazılım Mühendisliği,SAKARYA ÜNİVERSİTESİ,4,SAYISAL,(İngilizce),SAKARYA,DEVLET,59517,42654,46098,58340,71762,0,,,,,80,75,75,70,60,,,,,,2235,4225,4,5015,55,22,42,58,19,44,50,22,39
1116,300190315,Eczacılık,DOĞU AKDENİZ ÜNİVERSİTESİ,5,SAYISAL,(İngilizce) (Burslu),GAZİMAĞUSA,,59529,58350,53688,48438,48075,44016,42900,0,,,9,10,9,9,8,4,4,,,,229,215,451,257,4,6,5,2,7,5,3,6,7
